CustomerID;CompanyName;Address;City;Country;PostalCode;Phone
ALFKI;Alfreds Futterkiste;Obere Str. 57;Berlin;Germany;12209;030-0074321
ANATR;Ana Trujillo Emparedados y helados;Avda. de la Constitución 2222;México D.F.;Mexico;5021;(5) 555-4729
ANTON;Antonio Moreno Taquería;Mataderos  2312;México D.F.;Mexico;5023;(5) 555-3932
AROUT;Around the Horn;120 Hanover Sq.;London;UK;WA1 1DP;(171) 555-7788
BERGS;Berglunds snabbköp;Berguvsvägen  8;Luleå;Sweden;S-958 22;0921-12 34 65
BLAUS;Blauer See Delikatessen;Forsterstr. 57;Mannheim;Germany;68306;0621-08460
BLONP;Blondesddsl père et fils;24, place Kléber;Strasbourg;France;67000;88.60.15.31
BOLID;Bólido Comidas preparadas;C/ Araquil, 67;Madrid;Spain;28023;(91) 555 22 82
BONAP;Bon app';12, rue des Bouchers;Marseille;France;13008;91.24.45.40
BOTTM;Bottom-Dollar Markets;23 Tsawassen Blvd.;Tsawassen;Canada;T2F 8M4;(604) 555-4729
BSBEV;B's Beverages;Fauntleroy Circus;London;UK;EC2 5NT;(171) 555-1212
CACTU;Cactus Comidas para llevar;Cerrito 333;Buenos Aires;Argentina;1010;(1) 135-5555
CENTC;Centro comercial Moctezuma;Sierras de Granada 9993;México D.F.;Mexico;5022;(5) 555-3392
CHOPS;Chop-suey Chinese;Hauptstr. 29;Bern;Switzerland;3012;0452-076545
COMMI;Comércio Mineiro;Av. dos Lusíadas, 23;Sao Paulo;Brazil;05432-043;(11) 555-7647
CONSH;Consolidated Holdings;Berkeley Gardens 12  Brewery;London;UK;WX1 6LT;(171) 555-2282
DRACD;Drachenblut Delikatessen;Walserweg 21;Aachen;Germany;52066;0241-039123
DUMON;Du monde entier;67, rue des Cinquante Otages;Nantes;France;44000;40.67.88.88
EASTC;Eastern Connection;35 King George;London;UK;WX3 6FW;(171) 555-0297
ERNSH;Ernst Handel;Kirchgasse 6;Graz;Austria;8010;7675-3425
FAMIA;Familia Arquibaldo;Rua Orós, 92;Sao Paulo;Brazil;05442-030;(11) 555-9857
FISSA;FISSA Fabrica Inter. Salchichas S.A.;C/ Moralzarzal, 86;Madrid;Spain;28034;(91) 555 94 44
FOLIG;Folies gourmandes;184, chaussée de Tournai;Lille;France;59000;20.16.10.16
FOLKO;Folk och fä HB;Åkergatan 24;Bräcke;Sweden;S-844 67;0695-34 67 21
FRANK;Frankenversand;Berliner Platz 43;München;Germany;80805;089-0877310
FRANR;France restauration;54, rue Royale;Nantes;France;44000;40.32.21.21
FRANS;Franchi S.p.A.;Via Monte Bianco 34;Torino;Italy;10100;011-4988260
FURIB;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;Portugal;1675;(1) 354-2534
GALED;Galería del gastrónomo;Rambla de Cataluña, 23;Barcelona;Spain;8022;(93) 203 4560
GODOS;Godos Cocina Típica;C/ Romero, 33;Sevilla;Spain;41101;(95) 555 82 82
GOURL;Gourmet Lanchonetes;Av. Brasil, 442;Campinas;Brazil;04876-786;(11) 555-9482
GREAL;Great Lakes Food Market;2732 Baker Blvd.;Eugene;USA;97403;(503) 555-7555
GROSR;GROSELLA-Restaurante;5ª Ave. Los Palos Grandes;Caracas;Venezuela;1081;(2) 283-2951
HANAR;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;Brazil;05454-876;(21) 555-0091
